actor,script,start_time,end_time,duration
설명,[놀라는 신음],00:16:21,00:16:21,00:16:21
설명,[성난 신음],00:16:22,00:16:22,00:16:22
빈센조,아휴,00:16:24,00:16:24,00:16:24
빈센조,"나 같으면 가만히 있을 것 같은데, 어?",00:16:25,00:16:25,00:16:25
빈센조,"이런, 씨",00:16:31,00:16:31,00:16:31
설명,[강렬한 음악] [형사1의 아파하는 신음],00:16:33,00:16:33,00:16:33
설명,[소란스럽게 싸운다],00:16:35,00:16:35,00:16:35
설명,[형사2의 놀란 신음],00:16:59,00:16:59,00:16:59
설명,[형사2의 놀란 신음],00:17:01,00:17:01,00:17:01
형사2,"어, 선배님!",00:17:03,00:17:03,00:17:03
형사1,뭐야,00:17:03,00:17:03,00:17:03
설명,[흥미로운 음악],00:17:05,00:17:05,00:17:05
형사1,"아이씨, 뭐야, 묶였어",00:17:07,00:17:07,00:17:07
형사1,"[형사2의 다급한 신음] 어, 이거 묶였… [달칵거리는 소리가 들린다]",00:17:09,00:17:09,00:17:09
설명,[형사1의 놀란 신음],00:17:12,00:17:12,00:17:12
형사1,우리 경찰이에요,00:17:16,00:17:16,00:17:16
형사1,"이러면 큰일 나, 당신!",00:17:18,00:17:18,00:17:18
형사1,마음대로 하라며,00:17:21,00:17:21,00:17:21
설명,[형사들의 겁먹은 신음],00:17:23,00:17:23,00:17:23
빈센조,아,00:17:28,00:17:28,00:17:28
빈센조,딱 세 번 밀면 떨어지게 할게,00:17:30,00:17:30,00:17:30
빈센조,"아, 아니다, 아니다",00:17:33,00:17:33,00:17:33
빈센조,힘 조절 잘 못하면 두 번째에 떨어질 수도 있겠다,00:17:34,00:17:34,00:17:34
빈센조,잠깐만,00:17:37,00:17:37,00:17:37
설명,[빈센조의 탄성],00:17:39,00:17:39,00:17:39
설명,[벽돌이 쿵 떨어진다] [형사1의 놀란 신음],00:17:44,00:17:44,00:17:44
빈센조,오래 걸리네,00:17:46,00:17:46,00:17:46
빈센조,도대체 우리한테 왜 이러는 거예요!,00:17:47,00:17:47,00:17:47
설명,[빈센조가 라이터를 달칵거린다],00:17:50,00:17:50,00:17:50
빈센조,네 분 살인 사건 수사 기록이 필요해 [의미심장한 음악],00:17:52,00:17:52,00:17:52
빈센조,네 분 차량의 동선 CCTV 기록,00:17:54,00:17:54,00:17:54
빈센조,감식 및 검안 기록 등등 다 가져와,00:17:56,00:17:56,00:17:56
형사2,그건 명백한 자살 사건이라,00:17:59,00:17:59,00:17:59
형사2,간단한 감식 검안 기록밖에 없습니다,00:18:02,00:18:02,00:18:02
형사2,[라이터를 달칵거리며] 없는 기록은 추가해서 가져와,00:18:03,00:18:03,00:18:03
형사2,우리 마음대로 못 합니다,00:18:05,00:18:05,00:18:05
형사1,팀장이 허가를 해야 수사를 하는데…,00:18:07,00:18:07,00:18:07
설명,[형사들의 겁먹은 신음],00:18:09,00:18:09,00:18:09
설명,[형사들의 비명],00:18:11,00:18:11,00:18:11
형사1,수사하겠습니다!,00:18:12,00:18:12,00:18:12
형사2,"할게요, 다시 [형사들의 겁먹은 신음]",00:18:13,00:18:13,00:18:13
형사2,수사 기록 넘기면,00:18:15,00:18:15,00:18:15
형사2,"[형사들의 성난 신음] 너희 둘 다 사직서 내, 살고 싶으면",00:18:17,00:18:17,00:18:17
형사2,그건 안 됩니다 저희는 뭐 먹고 살라고,00:18:19,00:18:19,00:18:19
형사2,아직 한 발 남았다,00:18:21,00:18:21,00:18:21
형사1,"아, 하지 마, 하지 마 하지 마, 하지 마",00:18:23,00:18:23,00:18:23
형사1,아,00:18:25,00:18:25,00:18:25
형사1,이건 내가 할 게 아니라서,00:18:27,00:18:27,00:18:27
설명,[형사2의 놀란 신음],00:18:32,00:18:32,00:18:32
설명,[분위기가 고조되는 음악],00:18:33,00:18:33,00:18:33
형사2,"어, 쟤…",00:18:39,00:18:39,00:18:39
설명,[차영의 기합] [빈센조의 탄성],00:18:43,00:18:43,00:18:43
빈센조,신발,00:18:46,00:18:46,00:18:46
빈센조,어울리진 않는데 인상적이네요,00:18:48,00:18:48,00:18:48
빈센조,용도가 용도인지라 한정판으로 하나 샀어요,00:18:50,00:18:50,00:18:50
빈센조,선수 교체?,00:18:54,00:18:54,00:18:54
차영,콜! [흥미진진한 음악],00:18:55,00:18:55,00:18:55
형사1,"어? 아니야, 잠시만",00:18:57,00:18:57,00:18:57
형사2,"잠시만, 하지 마",00:18:57,00:18:57,00:18:57
형사1과 형사2,,00:18:59,00:18:59,00:18:59
형사1과 형사2,"아니야, 아니야, 잠시만요, 잠시만요",00:18:59,00:18:59,00:18:59
형사1과 형사2,하지 마,00:18:59,00:18:59,00:18:59
설명,[형사들의 비명],00:19:02,00:19:02,00:19:02
형사1,알겠습니다! 관두겠습니다!,00:19:05,00:19:05,00:19:05
차영,수사 기록 제출은 내일 오전 7시까지 [형사들이 흐느낀다],00:19:07,00:19:07,00:19:07
차영,만약에 뻘짓하면,00:19:11,00:19:11,00:19:11
차영,내일 여러분들은 경찰청 감찰 부서에서,00:19:12,00:19:12,00:19:12
차영,제일 핫한 경찰들이 돼 있을 겁니다,00:19:16,00:19:16,00:19:16
형사1,근데 저희 돈은…,00:19:19,00:19:19,00:19:19
형사1,약속할게,00:19:22,00:19:22,00:19:22
형사1,너희들이 기부한 돈,00:19:23,00:19:23,00:19:23
형사1,꼭 좋은 곳에 쓸 거라고,00:19:25,00:19:25,00:19:25
형사2,"기, 기부요?",00:19:28,00:19:28,00:19:28
형사1,[빈센조가 라이터를 달칵거린다] 기부?,00:19:30,00:19:30,00:19:30
형사1,"[형사2의 한숨] 아, 기부…",00:19:32,00:19:32,00:19:32
